date,daily_volume,daily_trades,daily_net_pnl,daily_avg_leverage,daily_winrate,daily_avg_position
2023-01-05,477.0,3,0.0,,0.0,159.0
2023-05-12,50005.83,9,0.0,,0.0,5556.203333333334
2024-01-01,264239.52999999997,18,-129.53146,,0.05555555555555555,14679.973888888888
2024-01-02,2008.18,6,0.0,,0.0,334.69666666666666
2024-01-03,472974.7,137,8244.241409,,0.9343065693430657,3452.370072992701
2024-01-04,339470.47,77,2507.963406,,0.5454545454545454,4408.7074025974025
2024-01-05,87025.45,14,0.0,,0.0,6216.103571428571
2024-01-06,12834.62,25,91.510419,,0.36,513.3848
2024-01-07,362670.14999999997,64,5065.839308,,0.40625,5666.721093749999
2024-01-08,227774.53,57,167.080017,,0.07017543859649122,3996.044385964912
2024-01-09,12359.68,12,137.433093,,0.4166666666666667,1029.9733333333334
2024-01-10,139954.32,4,0.0,,0.0,34988.58
2024-01-11,260981.03,23,1040.475736,,0.2608695652173913,11347.001304347827
2024-01-12,814711.82,416,40886.364494,,0.53125,1958.441875
2024-02-01,121348.74,17,783.979116,,0.47058823529411764,7138.1611764705885
2024-02-02,474278.43,42,456.423473,,0.30952380952380953,11292.343571428572
2024-02-03,63197.56,31,230.90060000000005,,0.6774193548387096,2038.6309677419354
2024-02-04,239664.50999999998,41,883.760812,,0.2926829268292683,5845.475853658536
2024-02-06,29464.51,93,192.906947,,0.3655913978494624,316.822688172043
2024-02-07,33347.47,18,2421.253116,,0.7222222222222222,1852.6372222222224
2024-02-08,396320.37,63,782.3681909999999,,0.2698412698412698,6290.799523809524
2024-02-09,30000.42,2,0.0,,0.0,15000.21
2024-02-10,99954.34,4,0.0,,0.0,24988.585
2024-02-11,40000.0,2,0.0,,0.0,20000.0
2024-02-12,585243.56,268,18489.604313,,0.41044776119402987,2183.7446268656718
2024-03-01,394499.36,67,866.015507,,0.417910447761194,5888.050149253731
2024-03-02,603820.0,56,223.30918699999998,,0.10714285714285714,10782.5
2024-03-03,390745.68,79,8361.086245,,0.6835443037974683,4946.1478481012655
2024-03-04,16887.57,4,126.7884,,0.25,4221.8925
2024-03-05,282682.64999999997,36,5306.017045,,0.4722222222222222,7852.295833333333
2024-03-06,21466.86,70,562.808208,,0.6285714285714286,306.66942857142857
2024-03-07,179600.66,18,1118.387284,,0.2222222222222222,9977.814444444444
2024-03-08,290532.86,37,464.1897,,0.02702702702702703,7852.239459459459
2024-03-10,132935.69,9,100.375782,,0.3333333333333333,14770.632222222222
2024-03-11,129055.66,6,0.0,,0.0,21509.27666666667
2024-03-12,1084666.53,374,23576.539285,,0.4304812834224599,2900.177887700535
2024-04-01,99792.54000000001,5,-67.60364,,0.0,19958.508
2024-04-02,203187.53,35,47.62389499999999,,0.2571428571428571,5805.358
2024-04-03,1577996.87,300,27799.775742,,0.8866666666666667,5259.989566666667
2024-04-04,95987.73,32,0.0,,0.0,2999.6165625
2024-04-05,58998.75,9,0.0,,0.0,6555.416666666667
2024-04-06,24243.41,53,52.211438,,0.4716981132075472,457.42283018867926
2024-04-07,430568.01,25,0.0,,0.0,17222.720400000002
2024-04-08,1207744.07,127,-122672.000883,,0.023622047244094488,9509.795826771655
2024-04-09,131480.97,34,1065.785132,,0.14705882352941177,3867.0873529411765
2024-04-10,0.34,1,0.0,,0.0,0.34
2024-04-11,451811.97,36,2799.410474,,0.6388888888888888,12550.332499999999
2024-04-12,769287.65,319,292891.815021,,0.46394984326018807,2411.5600313479626
2024-05-01,1703942.66,66,164.141565,,0.19696969696969696,25817.31303030303
2024-05-02,770198.26,72,-33.45419400000003,,0.19444444444444445,10697.198055555556
2024-05-03,841810.32,180,19791.026041,,0.9055555555555556,4676.724
2024-05-04,503791.8,100,10706.484306,,0.9,5037.918
2024-05-05,24068.350000000002,6,0.916,,0.16666666666666666,4011.391666666667
2024-05-06,25350.77,54,56.055506,,0.2962962962962963,469.4587037037037
2024-05-07,272289.89,32,0.0,,0.0,8509.0590625
2024-05-08,420495.4,80,-13013.665169,,0.4125,5256.1925
2024-05-09,0.84,1,0.0,,0.0,0.84
2024-05-10,605605.74,37,5767.161892,,0.6486486486486487,16367.722702702702
2024-05-11,200627.23,10,678.4759280000001,,0.5,20062.723
2024-05-12,1256750.79,456,71574.11848800001,,0.4232456140350877,2756.0324342105264
2024-06-01,298521.4,22,135.58166400000002,,0.45454545454545453,13569.154545454547
2024-06-02,8047153.41,1088,-215.615907,,0.1645220588235294,7396.280707720588
